t,obj_x,obj_y,obj_z,joint1,joint2,joint3,joint4,joint5,joint6,gripper_closed
100.0,0.4000,0.1500,0.0180,0.2291,-0.6805,-1.3962,0.0801,-1.4484,0.2453,1.0
100.5,0.4000,0.1500,0.0180,0.2291,-0.6805,-1.3962,0.0801,-1.4484,0.2453,1.0
101.0,0.4000,0.1500,0.0180,0.2291,-0.6805,-1.3962,0.0801,-1.4484,0.2453,1.0
101.5,0.4000,0.1500,0.0180,0.2303,-0.6873,-1.3570,0.0527,-1.5611,0.2159,0.0
102.0,0.4000,0.1500,0.0180,0.3138,-0.6930,-1.3046,0.0337,-1.5708,0.2856,0.0
102.5,0.4000,0.1500,0.0180,0.3679,-0.6911,-1.2833,0.0191,-1.5708,0.3118,0.0
103.0,0.4000,0.1500,0.0180,0.3763,-0.6931,-1.2848,0.0096,-1.5708,0.2968,0.0
103.5,0.4000,0.1500,0.0180,0.3910,-0.6876,-1.3106,0.0056,-1.5708,0.3041,0.0
104.0,0.4000,0.1500,0.0180,0.3802,-0.6927,-1.3443,-0.0002,-1.5625,0.3032,1.0
104.5,0.4000,0.1500,0.0180,0.3350,-0.7194,-1.3611,0.0198,-1.5340,0.2664,1.0
105.0,0.4000,0.1500,0.0180,0.2794,-0.7235,-1.3677,0.0695,-1.5285,0.2178,1.0
105.5,0.4000,0.1500,0.0180,0.2627,-0.7254,-1.3697,0.0844,-1.5272,0.2032,1.0
106.0,0.4000,0.1500,0.0180,0.2627,-0.7254,-1.3697,0.0844,-1.5272,0.2032,1.0
106.5,0.4000,0.1500,0.0180,0.2627,-0.7254,-1.3697,0.0844,-1.5272,0.2032,1.0
107.0,0.4000,0.1500,0.0180,0.2627,-0.7254,-1.3697,0.0844,-1.5272,0.2032,1.0
107.5,0.4000,0.1500,0.0180,0.2627,-0.7254,-1.3697,0.0844,-1.5272,0.2032,1.0
108.0,0.4000,0.1500,0.0180,0.2627,-0.7254,-1.3697,0.0844,-1.5272,0.2032,1.0
108.5,0.4000,0.1500,0.0180,0.2627,-0.7254,-1.3697,0.0844,-1.5272,0.2032,1.0
109.0,0.4000,0.1500,0.0180,0.3530,-0.7277,-1.2766,0.0873,-1.5708,0.2515,0.0
109.5,0.4000,0.1500,0.0180,0.4000,-0.7169,-1.2278,0.0927,-1.5700,0.2846,0.0
110.0,0.4000,0.1500,0.0180,0.4188,-0.6913,-1.1800,0.0958,-1.5708,0.3028,0.0
110.5,0.4000,0.1500,0.0180,0.4184,-0.6829,-1.1808,0.1015,-1.5563,0.3206,0.0
111.0,0.4000,0.1500,0.0180,0.4260,-0.6919,-1.2186,0.1195,-1.5025,0.3349,0.0
111.5,0.4000,0.1500,0.0180,0.4411,-0.6951,-1.2860,0.1307,-1.4887,0.3398,0.0
112.0,0.4000,0.1500,0.0180,0.4915,-0.7212,-1.2992,0.1516,-1.4379,0.3765,1.0
112.5,0.4000,0.1500,0.0180,0.5362,-0.7228,-1.3026,0.1708,-1.3905,0.4290,1.0
113.0,0.4000,0.1500,0.0180,0.5362,-0.7228,-1.3026,0.1708,-1.3905,0.4290,1.0
113.5,0.4000,0.1500,0.0180,0.5362,-0.7228,-1.3026,0.1708,-1.3905,0.4290,1.0
114.0,0.4000,0.1500,0.0180,0.5362,-0.7228,-1.3026,0.1708,-1.3905,0.4290,1.0
114.5,0.4000,0.1500,0.0180,0.5362,-0.7228,-1.3026,0.1708,-1.3905,0.4290,1.0
115.0,0.4000,0.1500,0.0180,0.5362,-0.7228,-1.3026,0.1708,-1.3905,0.4290,1.0
115.5,0.4000,0.1500,0.0180,0.5362,-0.7228,-1.3026,0.1708,-1.3905,0.4290,1.0
116.0,0.4000,0.1500,0.0180,0.5459,-0.7220,-1.2638,0.1689,-1.3869,0.4449,0.0
116.5,0.4000,0.1500,0.0180,0.5932,-0.6866,-1.1320,0.1607,-1.3859,0.5061,0.0
117.0,0.4000,0.1500,0.0180,0.6121,-0.6705,-1.0622,0.1539,-1.4131,0.5109,0.0
117.5,0.4000,0.1500,0.0180,0.6303,-0.6892,-1.0270,0.1538,-1.4437,0.5171,0.0
118.0,0.4000,0.1500,0.0180,0.6198,-0.6926,-1.0531,0.1517,-1.4863,0.5116,0.0
118.5,0.4000,0.1500,0.0180,0.6375,-0.6756,-1.1081,0.1455,-1.4759,0.5267,0.0
119.0,0.4000,0.1500,0.0180,0.6353,-0.6573,-1.1811,0.1420,-1.4365,0.5236,0.0
119.5,0.4000,0.1500,0.0180,0.5945,-0.6497,-1.2643,0.1358,-1.4002,0.5067,0.0
120.0,0.4000,0.1500,0.0180,0.5583,-0.6466,-1.3279,0.1312,-1.3758,0.4875,0.0
120.5,0.4000,0.1500,0.0180,0.5583,-0.6466,-1.3279,0.1312,-1.3758,0.4875,0.0
121.0,0.4000,0.1500,0.0180,0.5583,-0.6466,-1.3279,0.1312,-1.3758,0.4875,0.0
121.5,0.4000,0.1500,0.0180,0.5583,-0.6466,-1.3279,0.1312,-1.3758,0.4875,0.0
122.0,0.4000,0.1500,0.0180,0.5583,-0.6466,-1.3279,0.1312,-1.3758,0.4875,0.0
122.5,0.4000,0.1500,0.0180,0.5583,-0.6466,-1.3279,0.1312,-1.3758,0.4875,0.0
